EventID,Type,What,Position_X,Position_Y,Position_Z,Timestamp
0,Kill,Chomper,34.0943,0.4562926,19.18193,17/12/2020 13:27:17
3,Kill,Chomper,-26,0.9889999,26,17/12/2020 13:30:47
4,Kill,Spitter,-26.63162,0.9889998,30.6842,17/12/2020 13:30:49
5,Kill,Chomper,-25.42513,0.9889998,33.46994,17/12/2020 13:30:50
6,Kill,Chomper,32,0.3644159,0.9999999,17/12/2020 13:31:01
7,Kill,Chomper,33.21931,0.4226829,1.924258,17/12/2020 13:31:03
8,Kill,Chomper,33.12847,0.4796497,-0.1598772,17/12/2020 13:31:03
9,Kill,Chomper,30.98322,0.3887464,1.964598,17/12/2020 13:31:04
10,Kill,Chomper,33.77848,0.4626719,0.9483882,17/12/2020 13:31:05
11,Kill,Chomper,28.17772,0.54397,11.51223,17/12/2020 13:31:08
12,Kill,Chomper,23.08441,0.3668832,24.16842,17/12/2020 13:31:13
11,Kill,Chomper,-26,0.9889998,26,17/12/2020 13:47:14
12,Kill,Spitter,-28,0.9889623,30,17/12/2020 13:47:16
13,Kill,Chomper,-26,0.9889997,34,17/12/2020 13:47:17
14,Kill,Chomper,-26,0.9889999,26,17/12/2020 13:51:00
15,Kill,Spitter,-28,1.029193,30,17/12/2020 13:51:01
16,Kill,Chomper,-26,0.9889998,34,17/12/2020 13:51:02
17,Kill,Chomper,-26,0.9889998,26,17/12/2020 14:05:01
18,Kill,Spitter,-25.01794,0.9937096,31.49273,17/12/2020 14:05:04
19,Kill,Chomper,-26.04322,0.9889998,33.16837,17/12/2020 14:05:05
